Name                                  ,Code     ,Type ,SubBasin ,City                ,State     ,Responsible  ,Latitude ,Longitude ,StartDate  ,EndDate    ,NYD ,MD   ,N_YWOMD ,YWMD
USINA SÃO JOSÉ                        ,02448004 ,   2 ,      64 ,ITAPEVA             ,SÃO PAULO ,DAEE-SP      ,-24.1333 ,-48.9667  ,1939/10/01 ,2001/03/31 , 63 , 0.9 ,     53 , 15.9
SERTÃO DO PARANAPANEMA                ,02448005 ,   2 ,      64 ,CAPÃO BONITO        ,SÃO PAULO ,DAEE-SP      ,-24.1333 ,-48.1833  ,1971/04/14 ,1996/10/31 , 26 , 5.5 ,     19 , 26.9
BARREIRO                              ,02448006 ,   2 ,      64 ,CAPÃO BONITO        ,SÃO PAULO ,DAEE-SP      ,-24.1667 ,-48.3333  ,1947/11/24 ,2004/01/31 , 58 ,11.6 ,     36 , 37.9
BAIRRO DO PINHEIRO                    ,02448007 ,   2 ,      64 ,GUAPIARA            ,SÃO PAULO ,DAEE-SP      ,-24.1833 ,-48.5     ,1939/12/01 ,1998/12/31 , 60 , 1.8 ,     50 , 16.7
PINARA                                ,02448009 ,   2 ,      64 ,RIBEIRÃO BRANCO     ,SÃO PAULO ,DAEE-SP      ,-24.2667 ,-48.9     ,1971/05/01 ,2014/11/30 , 44 , 7.7 ,     30 , 31.8
ARACAIBA (CAPOEIRAS)                  ,02448011 ,   2 ,      81 ,APIAÍ               ,SÃO PAULO ,DAEE-SP      ,-24.4333 ,-48.85    ,1952/08/04 ,2012/07/12 , 61 ,19.6 ,     44 , 27.9
CAPELA DO ALTO                        ,02448053 ,   2 ,      64 ,GUAPIARA            ,SÃO PAULO ,DAEE-SP      ,-24.2167 ,-48.45    ,1948/02/01 ,1997/11/30 , 50 ,25.7 ,     28 , 44.0
FAZENDINHA                            ,02448058 ,   2 ,      64 ,GUAPIARA            ,SÃO PAULO ,DAEE-SP      ,-24.3167 ,-48.6167  ,1972/08/08 ,1998/11/30 , 27 , 0.8 ,     19 , 29.6
FAZENDA GUAPIARA                      ,02448065 ,   2 ,      64 ,CAPÃO BONITO        ,SÃO PAULO ,DAEE-SP      ,-24.1833 ,-48.3     ,1981/12/01 ,1995/12/31 , 15 , 4.7 ,      9 , 40.0
APIAÍ-MIRIM                           ,02448066 ,   2 ,      64 ,CAPÃO BONITO        ,SÃO PAULO ,DAEE-SP      ,-24.0667 ,-48.5667  ,1982/11/10 ,1998/12/31 , 17 , 1.2 ,     14 , 17.6
INTERVALES                            ,02448067 ,   2 ,      64 ,IPORANGA            ,SÃO PAULO ,DAEE-SP      ,-24.2669 ,-48.4114  ,1990/01/01 ,2013/11/30 , 24 , 8.1 ,     19 , 20.8
UHE CANOAS I BAIRRO CACHIMBA          ,02448071 ,   2 ,      64 ,APIAÍ               ,SÃO PAULO ,CONS.CANOAS  ,-24.4831 ,-48.7769  ,2012/01/01 ,2012/12/31 ,  1 , 0.3 ,      0 ,100.0
UHE CANOAS I BAIRRO CANTAGALO         ,02448072 ,   2 ,      64 ,ITAPEVA             ,SÃO PAULO ,CONS.CANOAS  ,-24.0936 ,-48.6389  ,2012/01/01 ,2012/12/31 ,  1 , 3.3 ,      0 ,100.0
UHE CANOAS II CAPÃO LIMPO             ,02448073 ,   2 ,      64 ,CAPÃO BONITO        ,SÃO PAULO ,CONS.CANOAS  ,-24.0714 ,-48.1825  ,2012/01/01 ,2012/12/31 ,  1 , 0.3 ,      0 ,100.0
ENGENHEIRO MAIA                       ,02449001 ,   2 ,      64 ,ITABERÁ             ,SÃO PAULO ,DAEE-SP      ,-24.05   ,-49.1     ,1939/10/01 ,2014/11/30 , 76 , 5.8 ,     47 , 38.2
ITARARÉ                               ,02449002 ,   2 ,      64 ,ITARARÉ             ,SÃO PAULO ,DAEE-SP      ,-24.1167 ,-49.3333  ,1956/03/01 ,1999/01/31 , 44 , 2.2 ,     26 , 40.9
ITARARÉ (RVPSC)                       ,02449005 ,   2 ,      64 ,ITARARÉ             ,SÃO PAULO ,RFFSA        ,-24.1    ,-49.3333  ,1938/09/01 ,1981/12/31 , 44 , 4.1 ,     35 , 20.5
FAZENDA SÃO NICOLAU                   ,02449056 ,   2 ,      64 ,ITARARÉ             ,SÃO PAULO ,DAEE-SP      ,-24.2667 ,-49.1667  ,1971/04/08 ,1998/12/31 , 28 , 0.5 ,     25 , 10.7
UHE CHAVANTES BERTANHOLI              ,02449067 ,   2 ,      64 ,ITARARÉ             ,PARANÁ    ,PARANAPANEMA ,-24.0903 ,-49.3292  ,2012/01/01 ,2012/12/31 ,  1 , 1.4 ,      0 ,100.0
